0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	4
86	5
87	17
88	8
89	10
90	8
91	12
92	11
93	6
94	9
95	7
96	6
97	10
98	9
99	5
100	6
101	10
102	8
103	11
104	3
105	11
106	9
107	7
108	9
109	9
110	13
111	11
112	14
113	7
114	11
115	4
116	10
117	10
118	11
119	8
120	6
121	7
122	11
123	13
124	12
125	7
126	5
127	7
128	8
129	3
130	6
131	8
132	6
133	6
134	11
135	6
136	6
137	3
138	10
139	8
140	7
141	10
142	6
143	8
144	11
145	10
146	6
147	2
148	7
149	9
150	6
151	8
152	18
153	9
154	5
155	8
156	5
157	9
158	6
159	9
160	9
161	13
162	10
163	5
164	10
165	6
166	6
167	10
168	6
169	5
170	10
171	6
172	11
173	12
174	10
175	7
176	10
177	11
178	8
179	11
180	8
181	14
182	5
183	2
184	5
185	5
186	12
187	6
188	4
189	15
190	3
191	7
192	7
193	6
194	6
195	3
196	9
197	3
198	5
199	10
200	5
201	4
202	7
203	13
204	4
205	6
206	11
207	6
208	3
209	12
210	9
211	8
212	5
213	10
214	8
215	8
216	6
217	7
218	4
219	6
220	9
221	9
222	4
223	4
224	13
225	8
226	8
227	9
228	4
229	6
230	5
231	9
232	7
233	6
234	10
235	4
236	4
237	4
238	6
239	11
240	7
241	6
242	13
243	6
244	10
245	6
246	8
247	11
248	8
249	11
250	11
251	8
252	9
253	7
254	6
255	11
256	9
257	9
258	12
259	16
260	6
261	8
262	10
263	11
264	8
265	6
266	15
267	9
268	5
269	12
270	8
271	11
272	7
273	8
274	11
275	8
276	6
277	8
278	9
279	4
280	4
281	13
282	5
283	10
284	7
285	5
286	6
287	9
288	14
289	6
290	3
291	8
292	13
293	10
294	5
295	12
296	11
297	7
298	7
299	5
300	10
301	9
302	3
303	7
304	6
305	11
306	12
307	9
308	6
309	8
310	13
311	7
312	9
313	6
314	5
315	12
316	8
317	12
318	5
319	4
320	9
321	10
322	13
323	8
324	10
325	6
326	5
327	11
328	9
329	7
330	7
331	5
332	9
333	8
334	16
335	12
336	9
337	11
338	6
339	3
340	10
341	7
342	4
343	7
344	5
345	12
346	9
347	6
348	9
349	11
350	9
351	11
352	7
353	10
354	7
355	7
356	9
357	10
358	3
359	11
360	7
361	7
362	14
363	10
364	12
365	4
366	8
367	10
368	8
369	9
370	5
371	4
372	10
373	7
374	6
375	8
376	9
377	12
378	7
379	10
380	9
381	5
382	10
383	5
384	7
385	7
386	6
387	12
388	11
389	13
390	5
391	8
392	10
393	7
394	7
395	10
396	5
397	12
398	13
399	10
400	4
401	5
402	8
403	9
404	14
405	5
406	3
407	4
408	10
409	8
410	5
411	7
412	11
413	9
414	7
415	7
416	13
417	8
418	5
419	8
420	5
421	9
422	9
423	9
424	12
425	4
426	6
427	14
428	9
429	8
430	10
431	10
432	7
433	8
434	7
435	9
436	8
437	15
438	4
439	8
440	13
441	8
442	9
443	10
444	10
445	11
446	10
447	12
448	8
449	11
450	15
451	4
452	7
453	12
454	5
455	11
456	8
457	9
458	10
459	10
460	8
461	8
462	10
463	9
464	10
465	10
466	14
467	7
468	7
469	13
470	8
471	13
472	10
473	7
474	8
475	11
476	9
477	6
478	5
479	8
480	9
481	7
482	13
483	7
484	8
485	8
486	17
487	8
488	6
489	10
490	14
491	14
492	14
493	12
494	9
495	13
496	13
497	7
498	15
499	14
500	10
501	10
502	11
503	12
504	16
505	12
506	12
507	10
508	9
509	10
510	10
511	7
512	10
513	7
514	12
515	10
516	11
517	12
518	9
519	7
520	8
521	6
522	15
523	6
524	9
525	10
526	8
527	11
528	11
529	12
530	11
531	6
532	11
533	8
